data_point;region;vac_interval_group;vaccine;count_vac_zab_18_59;count_vac_hosp_18_59;count_vac_severe_18_59;count_vac_death_18_59;count_vac_zab_60;count_vac_hosp_60;count_vac_severe_60;count_vac_death_60;count_vac_zab_total;count_vac_hosp_total;count_vac_severe_total;count_vac_death_total;count_zab_18_59;count_hosp_18_59;count_severe_18_59;count_death_18_59;count_zab_60;count_hosp_60;count_severe_60;count_death_60;count_zab_total;count_hosp_total;count_severe_total;count_death_total
2021.11_01-07-2022;Астраханская область;21_45_days;AllVaccines;2364;343;42;14;717;278;64;36;3081;621;106;50;5829;970;140;52;3130;1573;448;329;8959;2543;588;381
2021.11_01-07-2022;Астраханская область;21_45_days;CoviVac;28;5;1;0;11;4;1;0;39;9;2;0;5829;970;140;52;3130;1573;448;329;8959;2543;588;381
2021.11_01-07-2022;Астраханская область;21_45_days;EpiVacCorona;75;11;0;0;24;11;0;0;99;22;0;0;5829;970;140;52;3130;1573;448;329;8959;2543;588;381
2021.11_01-07-2022;Астраханская область;21_45_days;SputnikLite;206;27;4;2;62;26;5;4;268;53;9;6;5829;970;140;52;3130;1573;448;329;8959;2543;588;381
2021.11_01-07-2022;Астраханская область;21_45_days;SputnikV;2055;300;37;12;620;237;58;32;2675;537;95;44;5829;970;140;52;3130;1573;448;329;8959;2543;588;381
2021.11_01-07-2022;Белгородская область;21_45_days;AllVaccines;4279;487;81;22;1365;487;127;78;5644;974;208;100;8458;1099;202;86;4685;2012;661;530;13143;3111;863;616
2021.11_01-07-2022;Белгородская область;21_45_days;CoviVac;45;4;1;0;10;2;1;0;55;6;2;0;8458;1099;202;86;4685;2012;661;530;13143;3111;863;616
2021.11_01-07-2022;Белгородская область;21_45_days;EpiVacCorona;209;41;6;1;78;46;7;4;287;87;13;5;8458;1099;202;86;4685;2012;661;530;13143;3111;863;616
2021.11_01-07-2022;Белгородская область;21_45_days;SputnikLite;373;33;7;2;195;54;12;7;568;87;19;9;8458;1099;202;86;4685;2012;661;530;13143;3111;863;616
2021.11_01-07-2022;Белгородская область;21_45_days;SputnikV;3652;409;67;19;1082;385;107;67;4734;794;174;86;8458;1099;202;86;4685;2012;661;530;13143;3111;863;616
2021.11_01-07-2022;Брянская область;21_45_days;AllVaccines;2099;150;19;10;816;227;43;32;2915;377;62;42;8059;924;129;86;4160;1775;504;463;12219;2699;633;549
2021.11_01-07-2022;Брянская область;21_45_days;CoviVac;26;4;0;0;9;1;0;0;35;5;0;0;8059;924;129;86;4160;1775;504;463;12219;2699;633;549
2021.11_01-07-2022;Брянская область;21_45_days;EpiVacCorona;44;9;2;1;32;16;4;4;76;25;6;5;8059;924;129;86;4160;1775;504;463;12219;2699;633;549
2021.11_01-07-2022;Брянская область;21_45_days;SputnikLite;302;21;3;2;133;25;4;4;435;46;7;6;8059;924;129;86;4160;1775;504;463;12219;2699;633;549
2021.11_01-07-2022;Брянская область;21_45_days;SputnikV;1727;116;14;7;642;185;35;24;2369;301;49;31;8059;924;129;86;4160;1775;504;463;12219;2699;633;549
2021.11_01-07-2022;Владимирская область;21_45_days;AllVaccines;2664;167;26;5;1161;256;64;27;3825;423;90;32;12973;1175;230;64;7412;2697;868;607;20385;3872;1098;671
2021.11_01-07-2022;Владимирская область;21_45_days;CoviVac;63;3;1;0;28;10;6;2;91;13;7;2;12973;1175;230;64;7412;2697;868;607;20385;3872;1098;671
2021.11_01-07-2022;Владимирская область;21_45_days;EpiVacCorona;93;16;4;1;46;16;8;6;139;32;12;7;12973;1175;230;64;7412;2697;868;607;20385;3872;1098;671
2021.11_01-07-2022;Владимирская область;21_45_days;SputnikLite;666;39;11;2;294;65;20;6;960;104;31;8;12973;1175;230;64;7412;2697;868;607;20385;3872;1098;671
2021.11_01-07-2022;Владимирская область;21_45_days;SputnikV;1842;109;10;2;793;165;30;13;2635;274;40;15;12973;1175;230;64;7412;2697;868;607;20385;3872;1098;671
2021.11_01-07-2022;Волгоградская область;21_45_days;AllVaccines;5825;926;149;18;1976;877;205;83;7801;1803;354;101;13349;2567;445;68;8016;4567;1439;705;21365;7134;1884;773
2021.11_01-07-2022;Волгоградская область;21_45_days;CoviVac;162;31;6;0;31;19;4;1;193;50;10;1;13349;2567;445;68;8016;4567;1439;705;21365;7134;1884;773
2021.11_01-07-2022;Волгоградская область;21_45_days;EpiVacCorona;221;56;11;1;101;61;20;10;322;117;31;11;13349;2567;445;68;8016;4567;1439;705;21365;7134;1884;773
2021.11_01-07-2022;Волгоградская область;21_45_days;SputnikLite;825;145;28;6;314;133;37;9;1139;278;65;15;13349;2567;445;68;8016;4567;1439;705;21365;7134;1884;773
2021.11_01-07-2022;Волгоградская область;21_45_days;SputnikV;4617;694;104;11;1530;664;144;63;6147;1358;248;74;13349;2567;445;68;8016;4567;1439;705;21365;7134;1884;773
2021.11_01-07-2022;Вологодская область;21_45_days;AllVaccines;2593;165;20;6;1305;335;62;36;3898;500;82;42;12287;1085;154;68;6069;2295;726;520;18356;3380;880;588
2021.11_01-07-2022;Вологодская область;21_45_days;CoviVac;17;2;0;0;9;2;0;0;26;4;0;0;12287;1085;154;68;6069;2295;726;520;18356;3380;880;588
2021.11_01-07-2022;Вологодская область;21_45_days;EpiVacCorona;64;12;4;1;146;62;14;7;210;74;18;8;12287;1085;154;68;6069;2295;726;520;18356;3380;880;588
2021.11_01-07-2022;Вологодская область;21_45_days;SputnikLite;825;71;10;3;279;77;12;8;1104;148;22;11;12287;1085;154;68;6069;2295;726;520;18356;3380;880;588
2021.11_01-07-2022;Вологодская область;21_45_days;SputnikV;1687;80;6;2;871;194;36;21;2558;274;42;23;12287;1085;154;68;6069;2295;726;520;18356;3380;880;588
2021.11_01-07-2022;Воронежская область;21_45_days;AllVaccines;5712;675;96;17;2161;801;133;79;7873;1476;229;96;19048;2867;454;137;10472;5197;1403;913;29520;8064;1857;1050
2021.11_01-07-2022;Воронежская область;21_45_days;CoviVac;111;16;1;1;41;22;5;5;152;38;6;6;19048;2867;454;137;10472;5197;1403;913;29520;8064;1857;1050
2021.11_01-07-2022;Воронежская область;21_45_days;EpiVacCorona;243;48;8;2;158;89;15;10;401;137;23;12;19048;2867;454;137;10472;5197;1403;913;29520;8064;1857;1050
2021.11_01-07-2022;Воронежская область;21_45_days;SputnikLite;1112;136;23;4;435;137;15;6;1547;273;38;10;19048;2867;454;137;10472;5197;1403;913;29520;8064;1857;1050
2021.11_01-07-2022;Воронежская область;21_45_days;SputnikV;4246;475;64;10;1527;553;98;58;5773;1028;162;68;19048;2867;454;137;10472;5197;1403;913;29520;8064;1857;1050
2021.11_01-07-2022;Еврейская автономная область;21_45_days;AllVaccines;231;38;3;1;109;54;6;4;340;92;9;5;1050;195;17;10;570;348;83;79;1620;543;100;89
2021.11_01-07-2022;Еврейская автономная область;21_45_days;CoviVac;11;0;0;0;0;0;0;0;11;0;0;0;1050;195;17;10;570;348;83;79;1620;543;100;89
2021.11_01-07-2022;Еврейская автономная область;21_45_days;EpiVacCorona;67;23;3;1;60;32;6;4;127;55;9;5;1050;195;17;10;570;348;83;79;1620;543;100;89
2021.11_01-07-2022;Еврейская автономная область;21_45_days;SputnikLite;24;1;0;0;3;1;0;0;27;2;0;0;1050;195;17;10;570;348;83;79;1620;543;100;89
2021.11_01-07-2022;Еврейская автономная область;21_45_days;SputnikV;129;14;0;0;46;21;0;0;175;35;0;0;1050;195;17;10;570;348;83;79;1620;543;100;89
2021.11_01-07-2022;Забайкальский край;21_45_days;AllVaccines;3385;356;15;2;1311;530;41;18;4696;886;56;20;11568;2015;186;72;5299;2922;633;403;16867;4937;819;475
2021.11_01-07-2022;Забайкальский край;21_45_days;CoviVac;61;8;1;0;7;4;2;1;68;12;3;1;11568;2015;186;72;5299;2922;633;403;16867;4937;819;475
2021.11_01-07-2022;Забайкальский край;21_45_days;EpiVacCorona;61;15;0;0;22;14;1;1;83;29;1;1;11568;2015;186;72;5299;2922;633;403;16867;4937;819;475
2021.11_01-07-2022;Забайкальский край;21_45_days;SputnikLite;722;78;4;0;192;67;4;2;914;145;8;2;11568;2015;186;72;5299;2922;633;403;16867;4937;819;475
2021.11_01-07-2022;Забайкальский край;21_45_days;SputnikV;2541;255;10;2;1090;445;34;14;3631;700;44;16;11568;2015;186;72;5299;2922;633;403;16867;4937;819;475
2021.11_01-07-2022;Ивановская область;21_45_days;AllVaccines;2486;243;34;12;835;257;41;28;3321;500;75;40;7959;1028;116;40;4762;2297;580;547;12721;3325;696;587
2021.11_01-07-2022;Ивановская область;21_45_days;CoviVac;63;6;2;0;9;5;1;1;72;11;3;1;7959;1028;116;40;4762;2297;580;547;12721;3325;696;587
2021.11_01-07-2022;Ивановская область;21_45_days;EpiVacCorona;39;10;3;3;31;16;3;1;70;26;6;4;7959;1028;116;40;4762;2297;580;547;12721;3325;696;587
2021.11_01-07-2022;Ивановская область;21_45_days;SputnikLite;264;38;3;2;136;37;4;2;400;75;7;4;7959;1028;116;40;4762;2297;580;547;12721;3325;696;587
2021.11_01-07-2022;Ивановская область;21_45_days;SputnikV;2120;189;26;7;659;199;33;24;2779;388;59;31;7959;1028;116;40;4762;2297;580;547;12721;3325;696;587
2021.11_01-07-2022;Иркутская область;21_45_days;AllVaccines;7247;597;68;19;3292;1145;152;85;10539;1742;220;104;33708;3850;462;176;14353;6881;1514;1289;48061;10731;1976;1465
2021.11_01-07-2022;Иркутская область;21_45_days;CoviVac;102;16;1;0;29;15;1;0;131;31;2;0;33708;3850;462;176;14353;6881;1514;1289;48061;10731;1976;1465
2021.11_01-07-2022;Иркутская область;21_45_days;EpiVacCorona;492;95;13;5;338;201;33;20;830;296;46;25;33708;3850;462;176;14353;6881;1514;1289;48061;10731;1976;1465
2021.11_01-07-2022;Иркутская область;21_45_days;SputnikLite;609;50;5;1;389;106;17;7;998;156;22;8;33708;3850;462;176;14353;6881;1514;1289;48061;10731;1976;1465
2021.11_01-07-2022;Иркутская область;21_45_days;SputnikV;6044;436;49;13;2536;823;101;58;8580;1259;150;71;33708;3850;462;176;14353;6881;1514;1289;48061;10731;1976;1465
2021.11_01-07-2022;Кабардино-Балкарская Республика;21_45_days;AllVaccines;1174;171;31;6;456;190;61;19;1630;361;92;25;4273;791;189;34;2402;1310;529;214;6675;2101;718;248
2021.11_01-07-2022;Кабардино-Балкарская Республика;21_45_days;CoviVac;53;5;2;1;10;6;2;0;63;11;4;1;4273;791;189;34;2402;1310;529;214;6675;2101;718;248
2021.11_01-07-2022;Кабардино-Балкарская Республика;21_45_days;EpiVacCorona;52;16;2;1;28;14;5;3;80;30;7;4;4273;791;189;34;2402;1310;529;214;6675;2101;718;248
2021.11_01-07-2022;Кабардино-Балкарская Республика;21_45_days;SputnikLite;224;37;4;3;77;34;8;4;301;71;12;7;4273;791;189;34;2402;1310;529;214;6675;2101;718;248
2021.11_01-07-2022;Кабардино-Балкарская Республика;21_45_days;SputnikV;845;113;23;1;341;136;46;12;1186;249;69;13;4273;791;189;34;2402;1310;529;214;6675;2101;718;248
2021.11_01-07-2022;Калининградская область;21_45_days;AllVaccines;1711;211;12;8;747;274;36;18;2458;485;48;26;6302;1026;106;50;3227;1703;417;314;9529;2729;523;364
2021.11_01-07-2022;Калининградская область;21_45_days;CoviVac;25;5;0;0;6;2;0;0;31;7;0;0;6302;1026;106;50;3227;1703;417;314;9529;2729;523;364
2021.11_01-07-2022;Калининградская область;21_45_days;EpiVacCorona;122;25;3;0;36;15;3;1;158;40;6;1;6302;1026;106;50;3227;1703;417;314;9529;2729;523;364
2021.11_01-07-2022;Калининградская область;21_45_days;SputnikLite;365;56;3;3;118;41;4;1;483;97;7;4;6302;1026;106;50;3227;1703;417;314;9529;2729;523;364
2021.11_01-07-2022;Калининградская область;21_45_days;SputnikV;1199;125;6;5;587;216;29;16;1786;341;35;21;6302;1026;106;50;3227;1703;417;314;9529;2729;523;364
2021.11_01-07-2022;Калужская область;21_45_days;AllVaccines;1960;190;32;14;824;242;53;37;2784;432;85;51;8035;986;146;54;4852;2160;642;496;12887;3146;788;550
2021.11_01-07-2022;Калужская область;21_45_days;CoviVac;42;7;1;0;10;3;0;0;52;10;1;0;8035;986;146;54;4852;2160;642;496;12887;3146;788;550
2021.11_01-07-2022;Калужская область;21_45_days;EpiVacCorona;104;19;6;1;66;31;11;10;170;50;17;11;8035;986;146;54;4852;2160;642;496;12887;3146;788;550
2021.11_01-07-2022;Калужская область;21_45_days;SputnikLite;257;26;2;1;133;39;11;7;390;65;13;8;8035;986;146;54;4852;2160;642;496;12887;3146;788;550
2021.11_01-07-2022;Калужская область;21_45_days;SputnikV;1557;138;23;12;615;169;31;20;2172;307;54;32;8035;986;146;54;4852;2160;642;496;12887;3146;788;550
2021.11_01-07-2022;Камчатский край;21_45_days;AllVaccines;207;22;1;2;93;21;3;2;300;43;4;4;977;153;12;5;409;183;25;27;1386;336;37;32
2021.11_01-07-2022;Камчатский край;21_45_days;CoviVac;7;3;0;0;1;1;0;0;8;4;0;0;977;153;12;5;409;183;25;27;1386;336;37;32
2021.11_01-07-2022;Камчатский край;21_45_days;EpiVacCorona;35;9;1;2;18;5;0;0;53;14;1;2;977;153;12;5;409;183;25;27;1386;336;37;32
2021.11_01-07-2022;Камчатский край;21_45_days;SputnikLite;22;0;0;0;9;1;1;1;31;1;1;1;977;153;12;5;409;183;25;27;1386;336;37;32
2021.11_01-07-2022;Камчатский край;21_45_days;SputnikV;143;10;0;0;65;14;2;1;208;24;2;1;977;153;12;5;409;183;25;27;1386;336;37;32
2021.11_01-07-2022;Карачаево-Черкесская Республика;21_45_days;AllVaccines;1279;191;16;3;446;190;43;22;1725;381;59;25;3719;619;67;23;1779;875;192;114;5498;1494;259;137
2021.11_01-07-2022;Карачаево-Черкесская Республика;21_45_days;CoviVac;34;7;0;0;23;11;4;2;57;18;4;2;3719;619;67;23;1779;875;192;114;5498;1494;259;137
2021.11_01-07-2022;Карачаево-Черкесская Республика;21_45_days;EpiVacCorona;97;16;1;0;17;9;1;1;114;25;2;1;3719;619;67;23;1779;875;192;114;5498;1494;259;137
2021.11_01-07-2022;Карачаево-Черкесская Республика;21_45_days;SputnikLite;172;20;2;0;42;19;2;2;214;39;4;2;3719;619;67;23;1779;875;192;114;5498;1494;259;137
2021.11_01-07-2022;Карачаево-Черкесская Республика;21_45_days;SputnikV;976;148;13;3;364;151;36;17;1340;299;49;20;3719;619;67;23;1779;875;192;114;5498;1494;259;137
2021.11_01-07-2022;Кемеровская область;21_45_days;AllVaccines;4465;515;48;18;1686;627;91;60;6151;1142;139;78;13738;2021;258;135;8948;4701;1148;1003;22686;6722;1406;1138
2021.11_01-07-2022;Кемеровская область;21_45_days;CoviVac;89;18;1;0;15;7;0;0;104;25;1;0;13738;2021;258;135;8948;4701;1148;1003;22686;6722;1406;1138
2021.11_01-07-2022;Кемеровская область;21_45_days;EpiVacCorona;104;24;3;2;77;41;8;6;181;65;11;8;13738;2021;258;135;8948;4701;1148;1003;22686;6722;1406;1138
2021.11_01-07-2022;Кемеровская область;21_45_days;SputnikLite;131;10;0;0;105;30;5;5;236;40;5;5;13738;2021;258;135;8948;4701;1148;1003;22686;6722;1406;1138
2021.11_01-07-2022;Кемеровская область;21_45_days;SputnikV;4141;463;44;16;1489;549;78;49;5630;1012;122;65;13738;2021;258;135;8948;4701;1148;1003;22686;6722;1406;1138
2021.11_01-07-2022;Кировская область;21_45_days;AllVaccines;2784;509;16;7;1610;822;37;21;4394;1331;53;28;12736;3074;131;74;6317;4131;479;384;19053;7205;610;458
2021.11_01-07-2022;Кировская область;21_45_days;CoviVac;48;19;1;1;7;5;0;0;55;24;1;1;12736;3074;131;74;6317;4131;479;384;19053;7205;610;458
2021.11_01-07-2022;Кировская область;21_45_days;EpiVacCorona;76;27;1;1;39;31;5;2;115;58;6;3;12736;3074;131;74;6317;4131;479;384;19053;7205;610;458
2021.11_01-07-2022;Кировская область;21_45_days;SputnikLite;660;131;6;4;251;105;4;1;911;236;10;5;12736;3074;131;74;6317;4131;479;384;19053;7205;610;458
2021.11_01-07-2022;Кировская область;21_45_days;SputnikV;2000;332;8;1;1313;681;28;18;3313;1013;36;19;12736;3074;131;74;6317;4131;479;384;19053;7205;610;458
2021.11_01-07-2022;Костромская область;21_45_days;AllVaccines;478;71;3;2;401;145;8;10;879;216;11;12;2003;386;36;23;2291;1153;243;247;4294;1539;279;270
2021.11_01-07-2022;Костромская область;21_45_days;CoviVac;12;1;0;0;2;1;0;0;14;2;0;0;2003;386;36;23;2291;1153;243;247;4294;1539;279;270
2021.11_01-07-2022;Костромская область;21_45_days;EpiVacCorona;4;0;0;0;8;3;0;1;12;3;0;1;2003;386;36;23;2291;1153;243;247;4294;1539;279;270
2021.11_01-07-2022;Костромская область;21_45_days;SputnikLite;88;15;1;1;73;28;2;0;161;43;3;1;2003;386;36;23;2291;1153;243;247;4294;1539;279;270
2021.11_01-07-2022;Костромская область;21_45_days;SputnikV;374;55;2;1;318;113;6;9;692;168;8;10;2003;386;36;23;2291;1153;243;247;4294;1539;279;270
2021.11_01-07-2022;Краснодарский край;21_45_days;AllVaccines;8354;1014;178;62;2803;1086;312;224;11157;2100;490;286;24521;3533;690;327;12139;6156;2254;1809;36660;9689;2944;2136
2021.11_01-07-2022;Краснодарский край;21_45_days;CoviVac;157;23;4;1;37;18;5;2;194;41;9;3;24521;3533;690;327;12139;6156;2254;1809;36660;9689;2944;2136
2021.11_01-07-2022;Краснодарский край;21_45_days;EpiVacCorona;366;75;14;6;226;126;28;23;592;201;42;29;24521;3533;690;327;12139;6156;2254;1809;36660;9689;2944;2136
2021.11_01-07-2022;Краснодарский край;21_45_days;SputnikLite;201;22;3;0;176;41;7;4;377;63;10;4;24521;3533;690;327;12139;6156;2254;1809;36660;9689;2944;2136
2021.11_01-07-2022;Краснодарский край;21_45_days;SputnikV;7630;894;157;55;2364;901;272;195;9994;1795;429;250;24521;3533;690;327;12139;6156;2254;1809;36660;9689;2944;2136
2021.11_01-07-2022;Красноярский край;21_45_days;AllVaccines;7743;545;76;21;2979;969;218;131;10722;1514;294;152;27405;3188;551;185;13525;6448;2110;1498;40930;9636;2661;1683
2021.11_01-07-2022;Красноярский край;21_45_days;CoviVac;191;15;1;0;18;10;2;0;209;25;3;0;27405;3188;551;185;13525;6448;2110;1498;40930;9636;2661;1683
2021.11_01-07-2022;Красноярский край;21_45_days;EpiVacCorona;387;48;7;3;269;136;49;31;656;184;56;34;27405;3188;551;185;13525;6448;2110;1498;40930;9636;2661;1683
2021.11_01-07-2022;Красноярский край;21_45_days;SputnikLite;1893;144;27;8;447;145;29;20;2340;289;56;28;27405;3188;551;185;13525;6448;2110;1498;40930;9636;2661;1683
2021.11_01-07-2022;Красноярский край;21_45_days;SputnikV;5272;338;41;10;2245;678;138;80;7517;1016;179;90;27405;3188;551;185;13525;6448;2110;1498;40930;9636;2661;1683
2021.11_01-07-2022;Курганская область;21_45_days;AllVaccines;1617;219;30;3;1002;421;92;31;2619;640;122;34;5985;1007;175;36;4004;2183;685;360;9989;3190;860;396
2021.11_01-07-2022;Курганская область;21_45_days;CoviVac;15;5;1;0;4;1;0;0;19;6;1;0;5985;1007;175;36;4004;2183;685;360;9989;3190;860;396
2021.11_01-07-2022;Курганская область;21_45_days;EpiVacCorona;126;36;7;1;83;51;14;6;209;87;21;7;5985;1007;175;36;4004;2183;685;360;9989;3190;860;396
2021.11_01-07-2022;Курганская область;21_45_days;SputnikLite;271;37;7;1;179;70;11;6;450;107;18;7;5985;1007;175;36;4004;2183;685;360;9989;3190;860;396
2021.11_01-07-2022;Курганская область;21_45_days;SputnikV;1205;141;15;1;736;299;67;19;1941;440;82;20;5985;1007;175;36;4004;2183;685;360;9989;3190;860;396
2021.11_01-07-2022;Курская область;21_45_days;AllVaccines;1821;272;45;5;660;282;72;47;2481;554;117;52;5232;1024;194;70;3625;2118;654;542;8857;3142;848;612
2021.11_01-07-2022;Курская область;21_45_days;CoviVac;45;9;2;0;17;8;2;0;62;17;4;0;5232;1024;194;70;3625;2118;654;542;8857;3142;848;612
2021.11_01-07-2022;Курская область;21_45_days;EpiVacCorona;70;18;4;0;40;27;6;9;110;45;10;9;5232;1024;194;70;3625;2118;654;542;8857;3142;848;612
2021.11_01-07-2022;Курская область;21_45_days;SputnikLite;262;35;5;2;131;49;7;4;393;84;12;6;5232;1024;194;70;3625;2118;654;542;8857;3142;848;612
2021.11_01-07-2022;Курская область;21_45_days;SputnikV;1444;210;34;3;472;198;57;34;1916;408;91;37;5232;1024;194;70;3625;2118;654;542;8857;3142;848;612
2021.11_01-07-2022;Ленинградская область;21_45_days;AllVaccines;3875;286;31;12;1477;387;54;42;5352;673;85;54;15428;1211;153;64;6657;2510;573;536;22085;3721;726;600
2021.11_01-07-2022;Ленинградская область;21_45_days;CoviVac;148;14;0;0;19;11;1;1;167;25;1;1;15428;1211;153;64;6657;2510;573;536;22085;3721;726;600
2021.11_01-07-2022;Ленинградская область;21_45_days;EpiVacCorona;163;26;2;2;96;47;6;3;259;73;8;5;15428;1211;153;64;6657;2510;573;536;22085;3721;726;600
2021.11_01-07-2022;Ленинградская область;21_45_days;SputnikLite;606;52;6;3;161;37;3;3;767;89;9;6;15428;1211;153;64;6657;2510;573;536;22085;3721;726;600
2021.11_01-07-2022;Ленинградская область;21_45_days;SputnikV;2958;194;23;7;1201;292;44;35;4159;486;67;42;15428;1211;153;64;6657;2510;573;536;22085;3721;726;600
2021.11_01-07-2022;Липецкая область;21_45_days;AllVaccines;1280;175;23;9;410;168;30;24;1690;343;53;33;2869;546;72;44;2009;1166;381;347;4878;1712;453;391
2021.11_01-07-2022;Липецкая область;21_45_days;CoviVac;59;6;0;0;4;3;0;0;63;9;0;0;2869;546;72;44;2009;1166;381;347;4878;1712;453;391
2021.11_01-07-2022;Липецкая область;21_45_days;EpiVacCorona;24;9;1;0;18;11;2;2;42;20;3;2;2869;546;72;44;2009;1166;381;347;4878;1712;453;391
2021.11_01-07-2022;Липецкая область;21_45_days;SputnikLite;90;8;2;2;41;15;1;1;131;23;3;3;2869;546;72;44;2009;1166;381;347;4878;1712;453;391
2021.11_01-07-2022;Липецкая область;21_45_days;SputnikV;1107;152;20;7;347;139;27;21;1454;291;47;28;2869;546;72;44;2009;1166;381;347;4878;1712;453;391
2021.11_01-07-2022;Магаданская область;21_45_days;AllVaccines;293;17;2;1;109;36;6;3;402;53;8;4;1102;130;12;7;451;210;55;41;1553;340;67;48
2021.11_01-07-2022;Магаданская область;21_45_days;CoviVac;12;0;0;0;6;4;2;1;18;4;2;1;1102;130;12;7;451;210;55;41;1553;340;67;48
2021.11_01-07-2022;Магаданская область;21_45_days;SputnikLite;64;6;1;1;23;8;1;0;87;14;2;1;1102;130;12;7;451;210;55;41;1553;340;67;48
2021.11_01-07-2022;Магаданская область;21_45_days;SputnikV;217;11;1;0;80;24;3;2;297;35;4;2;1102;130;12;7;451;210;55;41;1553;340;67;48
2021.11_01-07-2022;Московская область;21_45_days;AllVaccines;20996;1864;435;84;5431;1405;455;171;26427;3269;890;255;53857;5240;1144;298;23045;8515;2373;1699;76902;13755;3517;1997
2021.11_01-07-2022;Московская область;21_45_days;CoviVac;509;73;10;0;181;54;23;9;690;127;33;9;53857;5240;1144;298;23045;8515;2373;1699;76902;13755;3517;1997
2021.11_01-07-2022;Московская область;21_45_days;EpiVacCorona;502;70;12;1;319;122;39;17;821;192;51;18;53857;5240;1144;298;23045;8515;2373;1699;76902;13755;3517;1997
2021.11_01-07-2022;Московская область;21_45_days;SputnikLite;485;27;6;1;375;71;22;6;860;98;28;7;53857;5240;1144;298;23045;8515;2373;1699;76902;13755;3517;1997
2021.11_01-07-2022;Московская область;21_45_days;SputnikV;19500;1694;407;82;4556;1158;371;139;24056;2852;778;221;53857;5240;1144;298;23045;8515;2373;1699;76902;13755;3517;1997
2021.11_01-07-2022;Мурманская область;21_45_days;AllVaccines;1191;107;11;3;461;169;30;21;1652;276;41;24;4745;744;85;33;2242;1158;304;230;6987;1902;389;263
2021.11_01-07-2022;Мурманская область;21_45_days;CoviVac;28;6;0;0;3;2;0;1;31;8;0;1;4745;744;85;33;2242;1158;304;230;6987;1902;389;263
2021.11_01-07-2022;Мурманская область;21_45_days;EpiVacCorona;23;4;0;0;12;10;5;5;35;14;5;5;4745;744;85;33;2242;1158;304;230;6987;1902;389;263
2021.11_01-07-2022;Мурманская область;21_45_days;SputnikLite;227;28;7;3;53;18;2;1;280;46;9;4;4745;744;85;33;2242;1158;304;230;6987;1902;389;263
