data_point;region;age_group;vac_interval_group;vaccine;ve_death;cil_death;cih_death
2021.11.B_26-08-2022;Московская область;40-49;75_90_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;75_90_days;SputnikV;0.44702;-1.25144;0.86418
2021.11.B_26-08-2022;Московская область;50-59;75_90_days;AllVaccines;0.66489;-0.04883;0.89293
2021.11.B_26-08-2022;Московская область;50-59;75_90_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;75_90_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;75_90_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;75_90_days;SputnikV;0.62173;-0.18392;0.87914
2021.11.B_26-08-2022;Московская область;60-69;75_90_days;AllVaccines;0.72932;0.34668;0.88785
2021.11.B_26-08-2022;Московская область;60-69;75_90_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;60-69;75_90_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;60-69;75_90_days;SputnikLite;0.45872;-2.85046;0.92391
2021.11.B_26-08-2022;Московская область;60-69;75_90_days;SputnikV;0.74521;0.31834;0.90476
2021.11.B_26-08-2022;Московская область;70-79;75_90_days;AllVaccines;0.72845;0.2739;0.89845
2021.11.B_26-08-2022;Московская область;70-79;75_90_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;70-79;75_90_days;EpiVacCorona;-1.82722;-19.10635;0.60245
2021.11.B_26-08-2022;Московская область;70-79;75_90_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;70-79;75_90_days;SputnikV;0.73905;0.18841;0.9161
2021.11.B_26-08-2022;Московская область;80+;75_90_days;AllVaccines;0.15745;-0.69179;0.58039
2021.11.B_26-08-2022;Московская область;80+;75_90_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;80+;75_90_days;EpiVacCorona;-1.83295;-19.14044;0.60152
2021.11.B_26-08-2022;Московская область;80+;75_90_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;80+;75_90_days;SputnikV;0.08766;-0.92118;0.56674
2021.11.B_26-08-2022;Московская область;18+;90_105_days;AllVaccines;0.78075;0.70128;0.83908
2021.11.B_26-08-2022;Московская область;18+;90_105_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;18+;90_105_days;EpiVacCorona;-1.16555;-14.38061;0.6951
2021.11.B_26-08-2022;Московская область;18+;90_105_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;18+;90_105_days;SputnikV;0.78012;0.69929;0.83922
2021.11.B_26-08-2022;Московская область;20-29;90_105_days;AllVaccines;-13.86289;-162.9109;-0.34772
2021.11.B_26-08-2022;Московская область;20-29;90_105_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;90_105_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;90_105_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;90_105_days;SputnikV;-14.16707;-166.26548;-0.3753
2021.11.B_26-08-2022;Московская область;30-39;90_105_days;AllVaccines;0.6882;-1.29457;0.95763
2021.11.B_26-08-2022;Московская область;30-39;90_105_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;90_105_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;90_105_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;90_105_days;SputnikV;0.68187;-1.3411;0.95677
2021.11.B_26-08-2022;Московская область;40-49;90_105_days;AllVaccines;0.65841;-0.08314;0.89227
2021.11.B_26-08-2022;Московская область;40-49;90_105_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;90_105_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;90_105_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;90_105_days;SputnikV;0.64968;-0.1108;0.88952
2021.11.B_26-08-2022;Московская область;50-59;90_105_days;AllVaccines;0.24468;-0.32762;0.57027
2021.11.B_26-08-2022;Московская область;50-59;90_105_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;90_105_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;90_105_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;90_105_days;SputnikV;0.217;-0.37627;0.55453
2021.11.B_26-08-2022;Московская область;60-69;90_105_days;AllVaccines;0.53478;0.19276;0.73189
2021.11.B_26-08-2022;Московская область;60-69;90_105_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;60-69;90_105_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;60-69;90_105_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;60-69;90_105_days;SputnikV;0.51321;0.15534;0.71946
2021.11.B_26-08-2022;Московская область;70-79;90_105_days;AllVaccines;0.64164;0.19884;0.83971
2021.11.B_26-08-2022;Московская область;70-79;90_105_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;70-79;90_105_days;EpiVacCorona;-6.15541;-49.88709;-0.00615
2021.11.B_26-08-2022;Московская область;70-79;90_105_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;70-79;90_105_days;SputnikV;0.68064;0.22967;0.8676
2021.11.B_26-08-2022;Московская область;80+;90_105_days;AllVaccines;0.66205;-0.05048;0.89128
2021.11.B_26-08-2022;Московская область;80+;90_105_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;80+;90_105_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;80+;90_105_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;80+;90_105_days;SputnikV;0.6358;-0.13208;0.88284
2021.11.B_26-08-2022;РФ;18+;105_165_days;AllVaccines;0.73353;0.72204;0.74455
2021.11.B_26-08-2022;РФ;18+;105_165_days;CoviVac;0.60763;0.48763;0.69953
2021.11.B_26-08-2022;РФ;18+;105_165_days;EpiVacCorona;-0.37729;-0.49427;-0.26948
2021.11.B_26-08-2022;РФ;18+;105_165_days;SputnikLite;0.98686;0.94745;0.99671
2021.11.B_26-08-2022;РФ;18+;105_165_days;SputnikV;0.78928;0.77855;0.79949
2021.11.B_26-08-2022;РФ;20-29;105_165_days;AllVaccines;0.72052;0.36763;0.87648
2021.11.B_26-08-2022;РФ;20-29;105_165_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;РФ;20-29;105_165_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;РФ;20-29;105_165_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;РФ;20-29;105_165_days;SputnikV;0.684;0.285;0.86034
2021.11.B_26-08-2022;РФ;30-39;105_165_days;AllVaccines;0.68502;0.55535;0.77688
2021.11.B_26-08-2022;РФ;30-39;105_165_days;CoviVac;0.42716;-3.07242;0.91942
2021.11.B_26-08-2022;РФ;30-39;105_165_days;EpiVacCorona;0.30063;-1.17382;0.775
2021.11.B_26-08-2022;РФ;30-39;105_165_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;РФ;30-39;105_165_days;SputnikV;0.69376;0.55844;0.78761
2021.11.B_26-08-2022;РФ;40-49;105_165_days;AllVaccines;0.61498;0.53623;0.68036
2021.11.B_26-08-2022;РФ;40-49;105_165_days;CoviVac;0.83972;-0.13848;0.97743
2021.11.B_26-08-2022;РФ;40-49;105_165_days;EpiVacCorona;-0.06868;-0.77652;0.35713
2021.11.B_26-08-2022;РФ;40-49;105_165_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;РФ;40-49;105_165_days;SputnikV;0.63038;0.54897;0.69709
2021.11.B_26-08-2022;РФ;50-59;105_165_days;AllVaccines;0.61026;0.55825;0.65615
2021.11.B_26-08-2022;РФ;50-59;105_165_days;CoviVac;0.39127;-0.17074;0.68349
2021.11.B_26-08-2022;РФ;50-59;105_165_days;EpiVacCorona;-0.23355;-0.66019;0.08345
2021.11.B_26-08-2022;РФ;50-59;105_165_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;РФ;50-59;105_165_days;SputnikV;0.65473;0.60308;0.69965
2021.11.B_26-08-2022;РФ;60-69;105_165_days;AllVaccines;0.64383;0.61366;0.67164
2021.11.B_26-08-2022;РФ;60-69;105_165_days;CoviVac;-0.31538;-0.94736;0.11151
2021.11.B_26-08-2022;РФ;60-69;105_165_days;EpiVacCorona;-0.24921;-0.47048;-0.06123
2021.11.B_26-08-2022;РФ;60-69;105_165_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;РФ;60-69;105_165_days;SputnikV;0.71849;0.69035;0.74408
2021.11.B_26-08-2022;РФ;70-79;105_165_days;AllVaccines;0.6026;0.5699;0.63281
2021.11.B_26-08-2022;РФ;70-79;105_165_days;CoviVac;0.33979;-0.26909;0.65655
2021.11.B_26-08-2022;РФ;70-79;105_165_days;EpiVacCorona;-0.39446;-0.60712;-0.20993
2021.11.B_26-08-2022;РФ;70-79;105_165_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;РФ;70-79;105_165_days;SputnikV;0.69675;0.66654;0.72422
2021.11.B_26-08-2022;РФ;80+;105_165_days;AllVaccines;0.53563;0.49547;0.57259
2021.11.B_26-08-2022;РФ;80+;105_165_days;CoviVac;-0.0292;-0.9783;0.46457
2021.11.B_26-08-2022;РФ;80+;105_165_days;EpiVacCorona;-0.41521;-0.63688;-0.22356
2021.11.B_26-08-2022;РФ;80+;105_165_days;SputnikLite;0.47382;-1.10403;0.86841
2021.11.B_26-08-2022;РФ;80+;105_165_days;SputnikV;0.652;0.61484;0.68557
2021.11.B_26-08-2022;РФ;18+;165_195_days;AllVaccines;0.48653;0.45611;0.51524
2021.11.B_26-08-2022;РФ;18+;165_195_days;CoviVac;0.2367;-0.52638;0.61829
