data_point;region;age_group;vac_interval_group;vaccine;ve_zab;cil_zab;cih_zab;ve_hosp;cil_hosp;cih_hosp;ve_severe;cil_severe;cih_severe
2021.11.B_26-08-2022;Московская область;20-29;165_195_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;165_195_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;165_195_days;SputnikV;0.3424;0.22406;0.4427;0.21475;-0.66126;0.62883;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;165_195_days;AllVaccines;0.23157;0.15575;0.30057;0.23851;-0.13254;0.48799;0.26897;-0.97102;0.72887
2021.11.B_26-08-2022;Московская область;30-39;165_195_days;CoviVac;0.03543;-0.79302;0.4811;-0.70255;-11.09828;0.76041;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;165_195_days;EpiVacCorona;-0.49315;-1.77556;0.19674;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;165_195_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;165_195_days;SputnikV;0.24373;0.16734;0.31311;0.24658;-0.12951;0.49745;0.24582;-1.03344;0.72028
2021.11.B_26-08-2022;Московская область;40-49;165_195_days;AllVaccines;0.146;0.06816;0.21734;0.30927;0.07396;0.48478;0.14011;-0.49545;0.50556
2021.11.B_26-08-2022;Московская область;40-49;165_195_days;CoviVac;-0.66407;-1.52803;-0.09538;-1.80376;-6.47941;-0.05103;-2.06709;-20.83119;0.5691
2021.11.B_26-08-2022;Московская область;40-49;165_195_days;EpiVacCorona;-1.45507;-2.69562;-0.63095;-1.96546;-8.20424;0.04458;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;165_195_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;165_195_days;SputnikV;0.19053;0.11332;0.26102;0.39347;0.16666;0.55855;0.17656;-0.46361;0.53673
2021.11.B_26-08-2022;Московская область;50-59;165_195_days;AllVaccines;0.13454;0.05244;0.20952;0.37334;0.19645;0.51128;0.33105;-0.0842;0.58725
2021.11.B_26-08-2022;Московская область;50-59;165_195_days;CoviVac;-0.79993;-1.66483;-0.21575;-2.21374;-5.43428;-0.60517;-0.60833;-10.43805;0.77385
2021.11.B_26-08-2022;Московская область;50-59;165_195_days;EpiVacCorona;-0.05688;-0.86152;0.39995;-0.96417;-4.23802;0.26347;-0.96954;-13.00686;0.72306
2021.11.B_26-08-2022;Московская область;50-59;165_195_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;165_195_days;SputnikV;0.16327;0.08068;0.23844;0.46857;0.30031;0.59636;0.3828;-0.03102;0.63052
2021.11.B_26-08-2022;Московская область;60-69;165_195_days;AllVaccines;0.35086;0.28974;0.40672;0.56545;0.46839;0.64479;0.5909;0.38665;0.72713
2021.11.B_26-08-2022;Московская область;60-69;165_195_days;CoviVac;-0.53784;-1.38446;0.00818;-0.58952;-2.5403;0.28634;-0.00893;-6.16949;0.85802
2021.11.B_26-08-2022;Московская область;60-69;165_195_days;EpiVacCorona;-0.12777;-0.71336;0.25768;0.64719;-0.41118;0.9118;-0.34641;-4.39101;0.66374
2021.11.B_26-08-2022;Московская область;60-69;165_195_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;60-69;165_195_days;SputnikV;0.37943;0.31832;0.43506;0.58286;0.48526;0.66195;0.62584;0.4235;0.75715
2021.11.B_26-08-2022;Московская область;70-79;165_195_days;AllVaccines;0.153;0.05686;0.23933;0.38129;0.25133;0.48869;0.4045;0.13697;0.5891
2021.11.B_26-08-2022;Московская область;70-79;165_195_days;CoviVac;-1.45702;-3.15091;-0.45437;-1.90615;-5.10163;-0.38418;-3.56027;-13.17085;-0.46753
2021.11.B_26-08-2022;Московская область;70-79;165_195_days;EpiVacCorona;-0.85664;-1.74972;-0.25362;-1.10844;-2.71716;-0.19595;-1.57206;-5.87067;0.03714
2021.11.B_26-08-2022;Московская область;70-79;165_195_days;SputnikV;0.21264;0.11785;0.29724;0.46517;0.34093;0.56599;0.52909;0.28042;0.69183
2021.11.B_26-08-2022;Московская область;80+;165_195_days;AllVaccines;0.32422;0.18432;0.44012;0.44476;0.26678;0.57954;0.19639;-0.21869;0.47009
2021.11.B_26-08-2022;Московская область;80+;165_195_days;CoviVac;-1.71672;-6.2424;-0.01908;-0.23157;-7.74717;0.8266;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;80+;165_195_days;EpiVacCorona;-0.65215;-2.17789;0.14107;-0.66542;-3.00566;0.30757;-1.11506;-7.47542;0.47218
2021.11.B_26-08-2022;Московская область;80+;165_195_days;SputnikV;0.37726;0.23958;0.49002;0.48894;0.31321;0.61971;0.23476;-0.18235;0.50472
2021.11.B_26-08-2022;Московская область;18+;21_45_days;AllVaccines;0.54674;0.51955;0.5724;0.67411;0.61722;0.72255;0.6525;0.52721;0.74459
2021.11.B_26-08-2022;Московская область;18+;21_45_days;CoviVac;0.02891;-0.34635;0.29958;0.10486;-0.99282;0.59792;-0.16334;-3.65336;0.70916
2021.11.B_26-08-2022;Московская область;18+;21_45_days;EpiVacCorona;0.14486;-0.34073;0.45458;-0.99214;-2.98429;0.00394;-0.94148;-6.76592;0.51463
2021.11.B_26-08-2022;Московская область;18+;21_45_days;SputnikLite;0.61716;0.57937;0.65155;0.76741;0.6912;0.82481;0.73541;0.55278;0.84346
2021.11.B_26-08-2022;Московская область;18+;21_45_days;SputnikV;0.49889;0.45892;0.5359;0.63017;0.54393;0.7001;0.62314;0.43212;0.7499
2021.11.B_26-08-2022;Московская область;20-29;21_45_days;AllVaccines;0.58648;0.49209;0.66333;0.11383;-0.78828;0.56086;0.24222;-4.49969;0.89559
2021.11.B_26-08-2022;Московская область;20-29;21_45_days;CoviVac;-0.68204;-3.04234;0.30009;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;21_45_days;EpiVacCorona;-0.53139;-3.74925;0.50621;-23.96446;-99.26976;-5.21548;-86.09193;-631.0829;-11.00002
2021.11.B_26-08-2022;Московская область;20-29;21_45_days;SputnikLite;0.65862;0.47055;0.77988;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;21_45_days;SputnikV;0.59338;0.47995;0.68207;0.06322;-1.10167;0.58245;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;21_45_days;AllVaccines;0.49196;0.42369;0.55215;0.52482;0.17874;0.72506;0.11204;-1.39413;0.67066
2021.11.B_26-08-2022;Московская область;30-39;21_45_days;CoviVac;-0.32152;-1.54024;0.31251;NULL;NULL;NULL;-14.64453;-110.71426;-1.19087
2021.11.B_26-08-2022;Московская область;30-39;21_45_days;EpiVacCorona;0.18227;-1.53563;0.73628;-3.81312;-33.20188;0.32267;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;21_45_days;SputnikLite;0.61501;0.49323;0.70753;0.46667;-0.42378;0.80022;-0.61446;-5.50924;0.59957
2021.11.B_26-08-2022;Московская область;30-39;21_45_days;SputnikV;0.45907;0.37401;0.53256;0.58146;0.16077;0.79127;0.68641;-1.23928;0.95608
2021.11.B_26-08-2022;Московская область;40-49;21_45_days;AllVaccines;0.48582;0.41478;0.54823;0.59273;0.367;0.73796;0.64422;0.047;0.86718
2021.11.B_26-08-2022;Московская область;40-49;21_45_days;CoviVac;0.28861;-0.58371;0.68045;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;21_45_days;EpiVacCorona;0.42223;-1.31039;0.85551;-1.67565;-18.00607;0.62332;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;21_45_days;SputnikLite;0.55875;0.44288;0.65051;0.7128;0.30907;0.88062;0.74882;-0.78788;0.96471
2021.11.B_26-08-2022;Московская область;40-49;21_45_days;SputnikV;0.44406;0.34842;0.52567;0.53289;0.20951;0.72398;0.56236;-0.3632;0.8595
2021.11.B_26-08-2022;Московская область;50-59;21_45_days;AllVaccines;0.48397;0.40739;0.55066;0.5643;0.37891;0.69435;0.60592;0.16943;0.81302
2021.11.B_26-08-2022;Московская область;50-59;21_45_days;CoviVac;0.22775;-0.71926;0.65312;-1.15287;-5.6802;0.30618;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;21_45_days;EpiVacCorona;0.09648;-1.80182;0.70863;-0.67811;-10.91779;0.76371;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;21_45_days;SputnikLite;0.50011;0.38562;0.59326;0.75611;0.51171;0.87819;0.75545;0.01971;0.93899
2021.11.B_26-08-2022;Московская область;50-59;21_45_days;SputnikV;0.4774;0.36614;0.56913;0.46806;0.16442;0.66136;0.43826;-0.355;0.76712
2021.11.B_26-08-2022;Московская область;60-69;21_45_days;AllVaccines;0.60893;0.55435;0.65684;0.74859;0.66044;0.81387;0.68723;0.46993;0.81545
2021.11.B_26-08-2022;Московская область;60-69;21_45_days;CoviVac;0.01891;-1.05835;0.53237;0.03428;-2.86273;0.75856;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;60-69;21_45_days;EpiVacCorona;0.28694;-0.90016;0.73242;0.38587;-3.36084;0.91351;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;60-69;21_45_days;SputnikLite;0.68862;0.62496;0.74147;0.85699;0.76254;0.91387;0.89111;0.6618;0.96494
2021.11.B_26-08-2022;Московская область;60-69;21_45_days;SputnikV;0.48511;0.37665;0.57469;0.58227;0.38098;0.7181;0.29645;-0.27459;0.61165
2021.11.B_26-08-2022;Московская область;70-79;21_45_days;AllVaccines;0.67226;0.60463;0.72833;0.85475;0.77687;0.90545;0.84822;0.66108;0.93202
2021.11.B_26-08-2022;Московская область;70-79;21_45_days;CoviVac;0.43296;-1.26774;0.85821;0.32953;-3.76137;0.90559;-1.4537;-16.44091;0.6548
2021.11.B_26-08-2022;Московская область;70-79;21_45_days;EpiVacCorona;0.07399;-1.87182;0.70141;0.27017;-4.18296;0.89723;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;70-79;21_45_days;SputnikLite;0.69848;0.61841;0.76175;0.90901;0.82493;0.9527;0.88902;0.65514;0.96429
2021.11.B_26-08-2022;Московская область;70-79;21_45_days;SputnikV;0.6206;0.47355;0.72657;0.75125;0.53718;0.86631;0.81828;0.27209;0.95464
2021.11.B_26-08-2022;Московская область;80+;21_45_days;AllVaccines;0.6512;0.51341;0.74997;0.74753;0.57292;0.85075;0.71365;0.30959;0.88123
2021.11.B_26-08-2022;Московская область;80+;21_45_days;CoviVac;-0.32356;-8.39861;0.81361;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;80+;21_45_days;EpiVacCorona;0.27818;-4.12562;0.89835;-0.30998;-8.30404;0.81556;-3.16085;-28.58446;0.4148
2021.11.B_26-08-2022;Московская область;80+;21_45_days;SputnikLite;0.68801;0.52089;0.79683;0.81174;0.60459;0.91037;0.74368;0.20311;0.91756
2021.11.B_26-08-2022;Московская область;80+;21_45_days;SputnikV;0.60146;0.29757;0.77388;0.63855;0.19448;0.83781;0.80914;-0.35706;0.97316
2021.11.B_26-08-2022;Московская область;18+;45_75_days;AllVaccines;0.35956;0.33203;0.38596;0.54407;0.48783;0.59414;0.40792;0.27479;0.51661
2021.11.B_26-08-2022;Московская область;18+;45_75_days;CoviVac;-0.08646;-0.39941;0.15651;0.29913;-0.47042;0.66593;-0.56226;-3.16482;0.41398
2021.11.B_26-08-2022;Московская область;18+;45_75_days;EpiVacCorona;-0.02779;-0.33882;0.21098;-0.55093;-1.57331;0.06525;-0.61236;-3.29838;0.39519
2021.11.B_26-08-2022;Московская область;18+;45_75_days;SputnikLite;0.63305;0.58464;0.67581;0.78197;0.68195;0.85053;0.74808;0.49587;0.87412
2021.11.B_26-08-2022;Московская область;18+;45_75_days;SputnikV;0.30053;0.26767;0.33192;0.50446;0.43714;0.56372;0.35535;0.19538;0.48352
2021.11.B_26-08-2022;Московская область;20-29;45_75_days;AllVaccines;0.3827;0.29958;0.45595;0.39796;-0.13048;0.67938;0.16274;-2.4561;0.79717
2021.11.B_26-08-2022;Московская область;20-29;45_75_days;CoviVac;-0.85181;-2.70426;0.07426;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;45_75_days;EpiVacCorona;0.06176;-1.50049;0.64795;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;45_75_days;SputnikLite;0.67446;0.46834;0.80067;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;45_75_days;SputnikV;0.3561;0.2639;0.43675;0.28973;-0.33371;0.62174;0.01223;-3.07741;0.76071
2021.11.B_26-08-2022;Московская область;30-39;45_75_days;AllVaccines;0.34596;0.2864;0.40054;0.2665;-0.03767;0.48151;-0.51995;-1.80101;0.1752
2021.11.B_26-08-2022;Московская область;30-39;45_75_days;CoviVac;0.13943;-0.59969;0.53704;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;45_75_days;EpiVacCorona;0.02203;-0.87987;0.49123;-2.84001;-14.37518;0.04094;-10.57752;-81.67264;-0.62132
2021.11.B_26-08-2022;Московская область;30-39;45_75_days;SputnikLite;0.6172;0.46408;0.72656;0.80154;-0.41026;0.97207;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;45_75_days;SputnikV;0.31502;0.24915;0.37511;0.22256;-0.11799;0.45937;-0.60573;-2.0425;0.15255
2021.11.B_26-08-2022;Московская область;40-49;45_75_days;AllVaccines;0.28069;0.21349;0.34215;0.44258;0.24272;0.5897;0.53757;0.06827;0.77049
2021.11.B_26-08-2022;Московская область;40-49;45_75_days;CoviVac;0.27789;-0.38811;0.62435;0.25721;-4.2763;0.89543;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;45_75_days;EpiVacCorona;-0.15156;-1.14068;0.38052;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;45_75_days;SputnikLite;0.65732;0.5178;0.75647;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;45_75_days;SputnikV;0.21915;0.142;0.28936;0.33848;0.09804;0.51483;0.43747;-0.13342;0.72081
2021.11.B_26-08-2022;Московская область;50-59;45_75_days;AllVaccines;0.3117;0.23808;0.37821;0.38292;0.20567;0.52061;0.11087;-0.36203;0.41957
2021.11.B_26-08-2022;Московская область;50-59;45_75_days;CoviVac;0.05314;-0.66774;0.46242;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;45_75_days;EpiVacCorona;-0.11867;-1.02053;0.38064;-0.70037;-4.27613;0.45201;-1.27439;-15.17487;0.68019
2021.11.B_26-08-2022;Московская область;50-59;45_75_days;SputnikLite;0.51836;0.36416;0.63516;0.94653;0.62028;0.99247;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;45_75_days;SputnikV;0.27386;0.18734;0.35117;0.24484;0.01983;0.41821;-0.11021;-0.71714;0.28219
2021.11.B_26-08-2022;Московская область;60-69;45_75_days;AllVaccines;0.37181;0.3053;0.43195;0.53312;0.42113;0.62344;0.30163;0.01197;0.50638
2021.11.B_26-08-2022;Московская область;60-69;45_75_days;CoviVac;-0.7248;-1.77536;-0.07191;-0.39783;-2.72631;0.47564;-3.00278;-11.43207;-0.28878
2021.11.B_26-08-2022;Московская область;60-69;45_75_days;EpiVacCorona;-0.12961;-0.87428;0.31919;-0.29746;-2.11894;0.46027;0.01149;-6.02443;0.86089
2021.11.B_26-08-2022;Московская область;60-69;45_75_days;SputnikLite;0.64562;0.55253;0.71934;0.79412;0.63715;0.88318;0.73826;0.30126;0.90196
2021.11.B_26-08-2022;Московская область;60-69;45_75_days;SputnikV;0.26758;0.17685;0.34831;0.4422;0.28586;0.56432;0.1627;-0.24536;0.43705
2021.11.B_26-08-2022;Московская область;70-79;45_75_days;AllVaccines;0.52631;0.44187;0.59797;0.70325;0.59295;0.78367;0.66557;0.40848;0.81093
2021.11.B_26-08-2022;Московская область;70-79;45_75_days;CoviVac;-0.0733;-1.86056;0.59729;-0.26915;-4.07712;0.68275;-1.32151;-15.50128;0.67339
2021.11.B_26-08-2022;Московская область;70-79;45_75_days;EpiVacCorona;0.28397;-0.72085;0.70207;-0.35545;-2.61399;0.49163;-0.2388;-7.80538;0.82572
2021.11.B_26-08-2022;Московская область;70-79;45_75_days;SputnikLite;0.71272;0.60644;0.7903;0.82622;0.67666;0.9066;0.80932;0.40747;0.93864
2021.11.B_26-08-2022;Московская область;70-79;45_75_days;SputnikV;0.37874;0.24159;0.49109;0.65751;0.48374;0.77279;0.61853;0.19711;0.81876
2021.11.B_26-08-2022;Московская область;80+;45_75_days;AllVaccines;0.52087;0.3571;0.64292;0.63403;0.425;0.76707;0.5095;0.01479;0.7558
2021.11.B_26-08-2022;Московская область;80+;45_75_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;80+;45_75_days;EpiVacCorona;0.56623;-2.08019;0.93891;0.21278;-4.59116;0.88916;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;80+;45_75_days;SputnikLite;0.77037;0.54048;0.88525;0.84387;0.51549;0.94969;0.83486;-0.17416;0.97677
2021.11.B_26-08-2022;Московская область;80+;45_75_days;SputnikV;0.34842;0.09521;0.53077;0.50861;0.18334;0.70433;0.26976;-0.53818;0.65332
2021.11.B_26-08-2022;Московская область;18+;75_90_days;AllVaccines;0.31253;0.28375;0.34016;0.52691;0.46916;0.57837;0.48818;0.36287;0.58885
2021.11.B_26-08-2022;Московская область;18+;75_90_days;CoviVac;-0.47885;-0.8047;-0.21183;-0.01148;-0.7815;0.42571;-0.97319;-3.39508;0.11413
2021.11.B_26-08-2022;Московская область;18+;75_90_days;EpiVacCorona;-0.03558;-0.3743;0.21966;0.16481;-0.75223;0.60191;0.53498;-2.30214;0.93451
2021.11.B_26-08-2022;Московская область;18+;75_90_days;SputnikLite;0.57748;0.48331;0.65449;0.75414;0.54295;0.86774;0.61646;-0.02248;0.85613
2021.11.B_26-08-2022;Московская область;18+;75_90_days;SputnikV;0.31336;0.28304;0.3424;0.52491;0.46373;0.57911;0.50714;0.37659;0.61035
2021.11.B_26-08-2022;Московская область;20-29;75_90_days;AllVaccines;0.30097;0.21554;0.3771;0.20547;-0.35812;0.53518;0.22131;-2.21436;0.81136
2021.11.B_26-08-2022;Московская область;20-29;75_90_days;CoviVac;-0.25226;-1.50496;0.37398;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;75_90_days;EpiVacCorona;-0.31586;-2.16231;0.45246;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;75_90_days;SputnikLite;0.64399;0.28786;0.82203;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;75_90_days;SputnikV;0.29426;0.20478;0.37368;0.13517;-0.47829;0.49406;0.15241;-2.49876;0.79467
2021.11.B_26-08-2022;Московская область;30-39;75_90_days;AllVaccines;0.31431;0.25621;0.36787;0.33645;0.06129;0.53096;0.39801;-0.46572;0.75276
2021.11.B_26-08-2022;Московская область;30-39;75_90_days;CoviVac;-1.02714;-1.90015;-0.41692;-1.38505;-8.54962;0.40432;-6.19087;-50.34847;-0.00701
