data_point;region;vac_interval_group;vaccine;ve_zab_18_59;ve_hosp_18_59;ve_severe_18_59;ve_death_18_59;ve_zab_60;ve_hosp_60;ve_severe_60;ve_death_60;ve_zab_total;ve_hosp_total;ve_severe_total;ve_death_total
2021.11_01-07-2022;Алтайский край;21_45_days;SputnikV;-26.1383998634312;-14.766191133647403;-11.892672521115621;-6.217063057424504;-18.413514826267054;-11.017155134713747;-6.536689466695488;-4.794956516158018;-23.24716902250369;-13.029419160070987;-8.316009179551616;-5.612908686666068
2021.11_01-07-2022;Алтайский край;45_75_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Алтайский край;45_75_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Алтайский край;45_75_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Алтайский край;45_75_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Алтайский край;45_75_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Алтайский край;75_90_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Алтайский край;75_90_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Алтайский край;75_90_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Алтайский край;75_90_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Алтайский край;75_90_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Алтайский край;90_105_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Алтайский край;90_105_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Алтайский край;90_105_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Алтайский край;90_105_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Алтайский край;90_105_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Амурская область;105_165_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Амурская область;105_165_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Амурская область;105_165_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Амурская область;105_165_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Амурская область;105_165_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Амурская область;165_195_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Амурская область;165_195_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Амурская область;165_195_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Амурская область;21_45_days;AllVaccines;-8.72353782899303;-5.058950557038275;-4.917235373069317;-2.5168474387110082;-4.907367249603871;-2.6346856897222275;-1.5006291535956668;-0.7376505935038673;-7.444552535963981;-3.737164117858854;-2.47879282061591;-1.1180967536010065
2021.11_01-07-2022;Амурская область;21_45_days;CoviVac;-6.817609736375977;-12.671183356285656;1.0;1.0;-4.793679363750523;-1.702284263959391;-1.4280501710376283;-3.482947368421053;-6.216158229283741;-5.920378244511456;-0.7543332636760467;-2.824052282619698
2021.11_01-07-2022;Амурская область;21_45_days;EpiVacCorona;-38.78853621912702;-70.03747072599532;-19.201798201798205;1.0;-22.161546769064618;-31.409763223568078;-33.972742200328405;-23.12231954092419;-32.769464489175846;-49.66191850657871;-38.556846267918935;-27.65145005370569
2021.11_01-07-2022;Амурская область;21_45_days;SputnikLite;-0.7686134776819935;-0.22221016938257332;-0.20155838464646214;1.0;-0.25527810876766766;0.17344309724249207;0.3873128475373864;0.6263042899873421;-0.5964676955724062;-0.07640703857495934;0.14069733577547971;0.5730351601490207
2021.11_01-07-2022;Амурская область;21_45_days;SputnikV;-20.605518089690538;-11.57397233535895;-12.86759088837942;-9.309778016229629;-18.39174333061422;-10.741233153060348;-6.72010596765198;-4.536098232883155;-19.755800874636833;-10.024709444226575;-7.255199520836953;-4.1929179126633835
2021.11_01-07-2022;Амурская область;45_75_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Амурская область;45_75_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Амурская область;45_75_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Амурская область;45_75_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Амурская область;45_75_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Амурская область;75_90_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Амурская область;75_90_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Амурская область;75_90_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Амурская область;75_90_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Амурская область;75_90_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Амурская область;90_105_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Амурская область;90_105_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Амурская область;90_105_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Амурская область;90_105_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Амурская область;90_105_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Архангельская область;105_165_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Архангельская область;105_165_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Архангельская область;105_165_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Архангельская область;105_165_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Архангельская область;105_165_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Архангельская область;165_195_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Архангельская область;165_195_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Архангельская область;165_195_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Архангельская область;21_45_days;AllVaccines;-5.635117373687201;-3.4028399866490826;-1.0324513534860342;-0.07268265878429592;-5.0313829077826115;-2.7221540874049293;-0.3610600167187703;-0.45770333151536935;-5.422117150903582;-2.9691724551636534;-0.4743599465837436;-0.44659964666261454
2021.11_01-07-2022;Архангельская область;21_45_days;CoviVac;-17.002438692453936;-11.771721289492033;1.0;1.0;-0.5692220969560315;1.0;1.0;1.0;-13.162959114976022;-4.063731098673429;1.0;1.0
2021.11_01-07-2022;Архангельская область;21_45_days;EpiVacCorona;-36.09639830508475;-84.78722917302409;1.0;1.0;-27.822938283661475;-36.102523570787184;-25.349840573933836;-51.42803330689928;-33.15901257970015;-52.291804193203475;-21.44595864661654;-47.926181371210056
2021.11_01-07-2022;Архангельская область;21_45_days;SputnikLite;-0.5851180438128014;-0.05284069035092531;-0.009872789682172423;1.0;0.1239802594008742;0.43139901900391353;0.8267764425278961;0.8458061351865358;-0.32788332125088715;0.26913639976816495;0.7012853458602504;0.8551233927422215
2021.11_01-07-2022;Архангельская область;21_45_days;SputnikV;-19.345785907692775;-11.92307853323952;-4.446369694195117;-3.9925055530121902;-20.97971653640329;-12.539143041237114;-4.059554373129365;-4.071165121555823;-19.95821192173325;-12.494523189476428;-4.208264404200863;-4.169536143416541
2021.11_01-07-2022;Архангельская область;45_75_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Архангельская область;45_75_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Архангельская область;45_75_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Архангельская область;45_75_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Архангельская область;45_75_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Архангельская область;75_90_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Архангельская область;75_90_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Архангельская область;75_90_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Архангельская область;75_90_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Архангельская область;75_90_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Архангельская область;90_105_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Архангельская область;90_105_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Архангельская область;90_105_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Архангельская область;90_105_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Архангельская область;90_105_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Астраханская область;105_165_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Астраханская область;105_165_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Астраханская область;105_165_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Астраханская область;105_165_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Астраханская область;105_165_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Астраханская область;165_195_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Астраханская область;165_195_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Астраханская область;165_195_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Астраханская область;165_195_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Астраханская область;21_45_days;AllVaccines;-18.732592467725258;-14.822186252674442;-11.395473694827414;-9.655758088535844;-8.073744315973132;-5.555408065109558;-4.089480482204362;-2.751971959577278;-14.392369697179399;-8.488150964319383;-5.458061793863186;-3.4359371040330267
2021.11_01-07-2022;Астраханская область;21_45_days;CoviVac;-15.933943960902855;-17.177980924721957;-24.23993034871466;1.0;-9.193900710416631;-6.368857133272953;-5.466295772989521;1.0;-13.45797455686214;-10.744745283881699;-10.286000966763831;1.0
2021.11_01-07-2022;Астраханская область;21_45_days;EpiVacCorona;-27.828504843147353;-24.36908426196967;1.0;1.0;-12.053781762345833;-10.897020585048756;1.0;1.0;-21.711383169443174;-16.737481147804356;1.0;1.0
2021.11_01-07-2022;Астраханская область;21_45_days;SputnikLite;-0.8462798049588445;-0.44294724679887953;-0.4822431957857769;-1.0158507462686566;0.09638486247104328;0.2484979013448525;0.4953230827315883;0.4496692323694612;-0.4998012859401839;-0.035249906691879884;0.24398115133558085;0.22180459844142453
2021.11_01-07-2022;Астраханская область;21_45_days;SputnikV;-39.62611718104175;-32.40733549215634;-25.801548441765558;-21.382914779744755;-26.518015915876138;-18.762461521968852;-15.567711981113515;-11.00307938722261;-34.07335373645705;-21.05631941008828;-14.876924201315715;-9.757527401997203
2021.11_01-07-2022;Астраханская область;45_75_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Астраханская область;45_75_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Астраханская область;45_75_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Астраханская область;45_75_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Астраханская область;45_75_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Астраханская область;75_90_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Астраханская область;75_90_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Астраханская область;75_90_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Астраханская область;75_90_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Астраханская область;75_90_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Астраханская область;90_105_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Астраханская область;90_105_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Астраханская область;90_105_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Астраханская область;90_105_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Астраханская область;90_105_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;105_165_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;105_165_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;105_165_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;105_165_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;105_165_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;165_195_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;165_195_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;165_195_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;165_195_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;165_195_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;21_45_days;AllVaccines;-20.39074028003425;-15.623919929652693;-12.984777075920098;-6.181226191377179;-4.56351019234418;-3.3212902513131644;-2.2182278161912996;-1.335126907532576;-12.508176621717757;-7.180267652482703;-4.699478424468159;-2.4782706917362147
2021.11_01-07-2022;Белгородская область;21_45_days;CoviVac;-12.645756567217402;-8.319269406392696;-11.69228855721393;1.0;-5.463328982272938;-2.0065734320523365;-3.578191362443331;1.0;-10.258400555226881;-4.176985383111441;-5.223205425691455;1.0
2021.11_01-07-2022;Белгородская область;21_45_days;EpiVacCorona;-99.82412936347022;-153.21182861899723;-120.81890095487735;-45.81667566109012;-63.33184972502025;-87.90454559189388;-39.669603657613465;-27.895079622030643;-86.56708527348025;-111.85019841269842;-58.9914401622718;-31.099159094757034
2021.11_01-07-2022;Белгородская область;21_45_days;SputnikLite;-0.3562547073822109;0.08994176017405964;-0.05529985789917147;0.3000562166995292;0.2514366049653757;0.5246413641337446;0.6813038147488004;0.7693058047169854;-0.09471312779825602;0.30273566768697424;0.4544040491722884;0.6406531828243044
2021.11_01-07-2022;Белгородская область;21_45_days;SputnikV;-60.82905350277032;-47.23028332060832;-39.381888941623174;-22.07408000340018;-21.136147842716163;-16.442640288456545;-13.236822191275314;-9.666768254491373;-43.39410350027619;-26.023142895529894;-18.91459210310281;-11.795697684637322
2021.11_01-07-2022;Белгородская область;45_75_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;45_75_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;45_75_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;45_75_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;45_75_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;75_90_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;75_90_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;75_90_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;75_90_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;75_90_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;90_105_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;90_105_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;90_105_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;90_105_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Белгородская область;90_105_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Брянская область;105_165_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Брянская область;105_165_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Брянская область;105_165_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Брянская область;105_165_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Брянская область;105_165_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Брянская область;165_195_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Брянская область;165_195_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Брянская область;165_195_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Брянская область;21_45_days;AllVaccines;-6.353133374931353;-3.046285875757639;-2.606344247811627;-1.747215147224923;-3.725647048995829;-1.8398296720057399;-0.8063625549455795;-0.43783847248460495;-5.386363069014266;-2.3095114065592286;-1.2133002277817444;-0.6885972533772917
2021.11_01-07-2022;Брянская область;21_45_days;CoviVac;-11.555436764522813;-15.865856777493605;1.0;1.0;-14.05514501969265;-2.9141868330667786;1.0;1.0;-11.92054499243216;-7.347858743652212;1.0;1.0
2021.11_01-07-2022;Брянская область;21_45_days;EpiVacCorona;-35.94499853590844;-65.19541652726664;-104.98216294391773;-78.1749099639856;-48.24591786244434;-56.78486325644406;-49.82178723404255;-54.36142400222501;-40.35544531119106;-60.77655842983519;-62.23081999670022;-59.731807809330626
2021.11_01-07-2022;Брянская область;21_45_days;SputnikLite;-0.4282121396985539;0.14687805577994129;0.12656562853660647;0.12656562853660647;0.1515624170862232;0.6330120143508293;0.7944867280364644;0.7761293333730548;-0.19590474886790532;0.43827901461340046;0.6377371711482657;0.642025997062059
2021.11_01-07-2022;Брянская область;21_45_days;SputnikV;-13.262864540330165;-6.507614330957212;-5.366276859954121;-3.633682524650153;-14.9215559090231;-9.15128258025187;-5.51090734271903;-3.7697216433221863;-13.382068448206509;-6.506022085849834;-4.017365671116411;-2.578693093920555
2021.11_01-07-2022;Брянская область;45_75_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Брянская область;45_75_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Брянская область;45_75_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Брянская область;45_75_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Брянская область;45_75_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Брянская область;75_90_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Брянская область;75_90_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Брянская область;75_90_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Брянская область;75_90_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Брянская область;75_90_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Брянская область;90_105_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Брянская область;90_105_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Брянская область;90_105_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Брянская область;90_105_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Брянская область;90_105_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;105_165_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;105_165_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;105_165_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;105_165_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;105_165_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;165_195_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;165_195_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;165_195_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;165_195_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;165_195_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;21_45_days;AllVaccines;-8.66323290562629;-5.195276660598445;-3.765933154895035;-2.169003792694222;-3.859498872793945;-1.7439800579399045;-1.0827286447236655;-0.21799227962449708;-6.589283671324105;-3.0297383842307086;-1.9336726796715027;-0.6454276813681796
2021.11_01-07-2022;Владимирская область;21_45_days;CoviVac;-58.127649172708914;-30.014868796508697;-51.91037296871644;1.0;-83.01730092091007;-81.45836434685523;-153.2220127610209;-72.2448347107438;-62.68622163290538;-46.84541449739687;-90.1265727856012;-41.45957331159125
2021.11_01-07-2022;Владимирская область;21_45_days;EpiVacCorona;-35.05457549941246;-67.9334235011543;-87.37813920114806;-78.25975975975976;-23.0584442030953;-21.991356242803622;-34.837108190090994;-37.46078998770165;-30.2796628552142;-36.966909722222226;-49.342863720073666;-47.0304279618474
2021.11_01-07-2022;Владимирская область;21_45_days;SputnikLite;-2.4287203459286877;-1.1751855604677255;-2.1824281423258047;-1.0438468128133467;-0.5057688616925731;0.09968095543170563;0.1401887789173618;0.6360466312089466;-1.5305763124187948;-0.4132912758615448;-0.4876696646856331;0.3821462434799511
2021.11_01-07-2022;Владимирская область;21_45_days;SputnikV;-15.018690164610636;-8.897849625187481;-3.3999615097789206;-2.122553329520525;-11.092373306982763;-5.577350454720121;-2.6133329033090367;-1.2089589589589589;-13.563275043519544;-6.470784230133892;-2.708951148706656;-1.243180439404521
2021.11_01-07-2022;Владимирская область;45_75_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;45_75_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;45_75_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;45_75_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;45_75_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;75_90_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;75_90_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;75_90_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;75_90_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;75_90_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;90_105_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;90_105_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;90_105_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;90_105_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Владимирская область;90_105_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Волгоградская область;105_165_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Волгоградская область;105_165_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Волгоградская область;105_165_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Волгоградская область;105_165_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Волгоградская область;105_165_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Волгоградская область;165_195_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Волгоградская область;165_195_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Волгоградская область;165_195_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Волгоградская область;165_195_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Волгоградская область;21_45_days;AllVaccines;-23.016390131737335;-16.505035369849697;-14.615473021301224;-10.167683256039316;-6.5573736644479155;-4.490275294108401;-2.8375990292420754;-2.0825391559331177;-15.152928641430353;-8.49895481702086;-5.498312745952288;-3.2212481026029343
2021.11_01-07-2022;Волгоградская область;21_45_days;CoviVac;-34.73055796803885;-34.5535715466672;-38.751866019111475;1.0;-14.913980379878938;-16.12478745236001;-10.426155632984901;-4.822632575757575;-28.109975981638655;-21.53916771807348;-16.04028432388821;-3.1364628009023976
2021.11_01-07-2022;Волгоградская область;21_45_days;EpiVacCorona;-56.527972212966375;-75.21258188110247;-85.61404394905905;-50.00474229836041;-53.48732715659437;-56.804772648813916;-59.18283611306866;-60.43844924060751;-54.70782372026111;-59.701910684441685;-59.90518275033116;-51.55398950131234
2021.11_01-07-2022;Волгоградская область;21_45_days;SputnikLite;-2.406276583975857;-2.095728624461866;-2.4720901744233172;-4.004129963368169;-0.3455812390973241;0.009989634548631443;0.12896120185331028;0.5732072244868387;-1.483046023156986;-0.7879074543238593;-0.5756208011060007;0.12744441732946565
2021.11_01-07-2022;Волгоградская область;21_45_days;SputnikV;-43.97049012304905;-30.513973569161607;-24.93943030535772;-15.413428319061541;-19.086102462026997;-13.486074532515042;-8.4683414449208;-7.355774454654112;-33.366910729633354;-19.003567075787792;-11.897431885385382;-8.007191689581289
2021.11_01-07-2022;Волгоградская область;45_75_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Волгоградская область;45_75_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Волгоградская область;45_75_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Волгоградская область;45_75_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Волгоградская область;45_75_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Волгоградская область;75_90_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Волгоградская область;75_90_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Волгоградская область;75_90_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Волгоградская область;75_90_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Волгоградская область;75_90_days;SputnikV;;;;;;;;;;;;
